"","year","variable","value"
"129",1987,"vrs_sm_pelagic",0.454443599716693
"130",1988,"vrs_sm_pelagic",0.370575677404713
"131",1989,"vrs_sm_pelagic",0.612189028532245
"132",1990,"vrs_sm_pelagic",0.629739662060195
"133",1991,"vrs_sm_pelagic",0.598992508067004
"134",1992,"vrs_sm_pelagic",0.588634094016293
"135",1993,"vrs_sm_pelagic",0.773468708002346
"136",1994,"vrs_sm_pelagic",0.929663456427758
"137",1995,"vrs_sm_pelagic",1
"138",1996,"vrs_sm_pelagic",0.693882012055925
"139",1997,"vrs_sm_pelagic",0.930831318100204
"140",1998,"vrs_sm_pelagic",0.68385809058323
"141",1999,"vrs_sm_pelagic",0.220205530562647
"142",2000,"vrs_sm_pelagic",0.673196979834141
"143",2001,"vrs_sm_pelagic",0.950843326136282
"144",2002,"vrs_sm_pelagic",0.621531246307188
"145",2003,"vrs_sm_pelagic",0.775516967779893
"146",2004,"vrs_sm_pelagic",0.501349472416028
"147",2005,"vrs_sm_pelagic",0.824424972287932
"148",2006,"vrs_sm_pelagic",0.810204737628806
"149",2007,"vrs_sm_pelagic",0.55566101768574
"150",2008,"vrs_sm_pelagic",0.577634388480534
"151",2009,"vrs_sm_pelagic",0.587234354151506
"152",2010,"vrs_sm_pelagic",0.555117257500142
"153",2011,"vrs_sm_pelagic",0.325450230413492
"154",2012,"vrs_sm_pelagic",0.675055006163418
"155",2013,"vrs_sm_pelagic",0.358034286282733
"156",2014,"vrs_sm_pelagic",0.461663062967681
"157",1963,"crs_sm_pelagic",0.573062542107837
"158",1964,"crs_sm_pelagic",0.541854238741295
"159",1965,"crs_sm_pelagic",0.724782742370897
"160",1966,"crs_sm_pelagic",0.591751243765569
"161",1967,"crs_sm_pelagic",0.696804866208406
"162",1968,"crs_sm_pelagic",0.802812557876254
"163",1969,"crs_sm_pelagic",0.837982648196517
"164",1970,"crs_sm_pelagic",0.731828176647899
"165",1971,"crs_sm_pelagic",1
"166",1972,"crs_sm_pelagic",0.840689998740016
"167",1973,"crs_sm_pelagic",0.368095907841544
"168",1974,"crs_sm_pelagic",0.139075959576826
"169",1975,"crs_sm_pelagic",0.30379304429308
"170",1976,"crs_sm_pelagic",0.261411282591965
"171",1977,"crs_sm_pelagic",0.337571997285206
"172",1978,"crs_sm_pelagic",0.140240683653931
"173",1979,"crs_sm_pelagic",0.207059257543297
"174",1980,"crs_sm_pelagic",0.262559279525619
"175",1981,"crs_sm_pelagic",0.186588941685677
"176",1982,"crs_sm_pelagic",0.209272267661015
"177",1983,"crs_sm_pelagic",0.29313415465489
"178",1984,"crs_sm_pelagic",0.117244050966419
"179",1985,"crs_sm_pelagic",0.257155871003031
"180",1986,"crs_sm_pelagic",0.318340269115435
"181",1987,"crs_sm_pelagic",0.44297187830756
"182",1988,"crs_sm_pelagic",0.365391310439036
"183",1989,"crs_sm_pelagic",0.565932378587446
"184",1990,"crs_sm_pelagic",0.579181822705726
"185",1991,"crs_sm_pelagic",0.564657665639675
"186",1992,"crs_sm_pelagic",0.577653209027669
"187",1993,"crs_sm_pelagic",0.67307848289214
"188",1994,"crs_sm_pelagic",0.808239973046899
"189",1995,"crs_sm_pelagic",1
"190",1996,"crs_sm_pelagic",0.689878001307442
"191",1997,"crs_sm_pelagic",0.804420702651031
"192",1998,"crs_sm_pelagic",0.608807192308544
"193",1999,"crs_sm_pelagic",0.19607696565992
"194",2000,"crs_sm_pelagic",0.626710694991709
"195",2001,"crs_sm_pelagic",0.885237515200611
"196",2002,"crs_sm_pelagic",0.578683210495426
"197",2003,"crs_sm_pelagic",0.72238863419033
"198",2004,"crs_sm_pelagic",0.467344576875084
"199",2005,"crs_sm_pelagic",0.76851500031598
"200",2006,"crs_sm_pelagic",0.755253846141767
"201",2007,"crs_sm_pelagic",0.517961856753191
"202",2008,"crs_sm_pelagic",0.538413802381043
"203",2009,"crs_sm_pelagic",0.547349223129043
"204",2010,"crs_sm_pelagic",0.517471711906058
"205",2011,"crs_sm_pelagic",0.303292518462831
"206",2012,"crs_sm_pelagic",0.628997610149696
"207",2013,"crs_sm_pelagic",0.333605531957095
"208",2014,"crs_sm_pelagic",0.430157973571024
"209",1963,"TEvrs",0.97
"210",1964,"TEvrs",0.94
"211",1965,"TEvrs",0.75
"212",1966,"TEvrs",0.88
"213",1967,"TEvrs",1
"214",1968,"TEvrs",1
"215",1969,"TEvrs",0.88
"216",1970,"TEvrs",1
"217",1971,"TEvrs",1
"218",1972,"TEvrs",0.71
"219",1973,"TEvrs",1
"220",1974,"TEvrs",0.84
"221",1975,"TEvrs",0.81
"222",1976,"TEvrs",0.94
"223",1977,"TEvrs",1
"224",1978,"TEvrs",1
"225",1979,"TEvrs",1
"226",1980,"TEvrs",0.99
"227",1981,"TEvrs",1
"228",1982,"TEvrs",0.37
"229",1983,"TEvrs",0.4
"230",1984,"TEvrs",0.37
"231",1985,"TEvrs",0.36
"232",1986,"TEvrs",0.51
"233",1987,"TEvrs",0.53
"234",1988,"TEvrs",0.65
"235",1989,"TEvrs",0.66
"236",1990,"TEvrs",0.83
"237",1991,"TEvrs",0.77
"238",1992,"TEvrs",0.85
"239",1993,"TEvrs",0.97
"240",1994,"TEvrs",1
"241",1995,"TEvrs",0.92
"242",1996,"TEvrs",1
"243",1997,"TEvrs",1
"244",1998,"TEvrs",1
"245",1999,"TEvrs",0.74
"246",2000,"TEvrs",0.98
"247",2001,"TEvrs",1
"248",2002,"TEvrs",0.83
"249",2003,"TEvrs",0.62
"250",2004,"TEvrs",0.9
"251",2005,"TEvrs",0.91
"252",2006,"TEvrs",0.78
"253",2007,"TEvrs",0.85
"254",2008,"TEvrs",0.8
"255",2009,"TEvrs",0.8
"256",2010,"TEvrs",0.77
"257",2011,"TEvrs",1
"258",2012,"TEvrs",0.62
"259",2013,"TEvrs",0.6
"260",2014,"TEvrs",1
"261",1963,"TEcrs",0.97
"262",1964,"TEcrs",0.94
"263",1965,"TEcrs",0.75
"264",1966,"TEcrs",0.88
"265",1967,"TEcrs",1
"266",1968,"TEcrs",1
"267",1969,"TEcrs",0.88
"268",1970,"TEcrs",1
"269",1971,"TEcrs",0.99
"270",1972,"TEcrs",0.71
"271",1973,"TEcrs",1
"272",1974,"TEcrs",0.84
"273",1975,"TEcrs",0.81
"274",1976,"TEcrs",0.94
"275",1977,"TEcrs",1
"276",1978,"TEcrs",1
"277",1979,"TEcrs",1
"278",1980,"TEcrs",0.99
"279",1981,"TEcrs",1
"280",1982,"TEcrs",0.34
"281",1983,"TEcrs",0.4
"282",1984,"TEcrs",0.37
"283",1985,"TEcrs",0.35
"284",1986,"TEcrs",0.5
"285",1987,"TEcrs",0.53
"286",1988,"TEcrs",0.6
"287",1989,"TEcrs",0.62
"288",1990,"TEcrs",0.83
"289",1991,"TEcrs",0.77
"290",1992,"TEcrs",0.77
"291",1993,"TEcrs",0.89
"292",1994,"TEcrs",1
"293",1995,"TEcrs",0.92
"294",1996,"TEcrs",1
"295",1997,"TEcrs",1
"296",1998,"TEcrs",1
"297",1999,"TEcrs",0.72
"298",2000,"TEcrs",0.98
"299",2001,"TEcrs",1
"300",2002,"TEcrs",0.79
"301",2003,"TEcrs",0.62
"302",2004,"TEcrs",0.87
"303",2005,"TEcrs",0.87
"304",2006,"TEcrs",0.78
"305",2007,"TEcrs",0.84
"306",2008,"TEcrs",0.78
"307",2009,"TEcrs",0.79
"308",2010,"TEcrs",0.77
"309",2011,"TEcrs",1
"310",2012,"TEcrs",0.61
"311",2013,"TEcrs",0.57
"312",2014,"TEcrs",1
